symbol,predicted_score
AAPL,-0.03656134
MSFT,0.3535319
AMZN,0.44892412
GOOGL,0.21000753
META,0.035080865
TSLA,0.65467453
NVDA,-0.48349983
BRK.B,0.1210925
JPM,0.4687847
V,-0.30555844
UNH,0.47291464
XOM,0.34913635
PG,0.22245629
MA,-0.35849267
JNJ,-0.0072409734
HD,0.4303391
COST,0.41271693
BAC,0.5354099
MRK,0.16915075
PEP,0.36972302
LLY,-0.21502088
ABBV,-0.055111676
AVGO,0.10322642
KO,0.11927803
TMO,0.39469844
WMT,0.40246308
CVX,0.3451987
ORCL,-0.19570561
CRM,0.15423222
MCD,0.68257177
ACN,0.3870896
ADBE,0.20592026
DHR,0.332417
NKE,0.6877115
QCOM,0.16424365
ABT,0.15294568
VZ,0.1576257
MDT,0.2501976
TXN,0.19113508
LIN,0.3257289
HON,0.4061045
BMY,0.31976652
AMGN,0.17612045
AMAT,0.11359994
PFE,0.14923379
LOW,0.60809815
SBUX,0.8158433
MS,0.078414634
UNP,0.33959687
T,0.18374364
GE,0.23622079
UPS,0.53098154
CAT,0.50599205
IBM,0.22236852
NOW,0.09910555
C,0.65489566
RTX,0.47094613
SCHW,-0.1311552
BLK,0.38012475
BKNG,0.27244425
SPGI,0.2366993
ISRG,0.18182553
ADP,0.24326973
FISV,0.1210925
ZTS,0.21382992
MU,0.012184225
LMT,0.72861207
INTU,0.18185353
GILD,0.26431996
CI,0.52301943
TMUS,0.10265224
DE,0.710054
CB,0.4587282
MO,0.70125616
ICE,0.11220108
REGN,0.31822366
TGT,0.56520194
F,0.44950974
GM,0.72399354
PYPL,0.36634678
ADI,0.11615993
BIIB,0.43049145
CSCO,0.067729935
NFLX,0.049012676
PANW,0.19365437
SNPS,0.1855152
MAR,0.2872541
DD,1.3375562
AZO,0.5177361
ORLY,0.8385269
EA,0.27111083
ANET,0.23613001
KLAC,0.03129463
HCA,3.2815478
CDNS,0.45432734
AON,0.36120945
EW,-0.00099428
ILMN,0.1719474
ROP,0.4050125
DXCM,0.485502
