symbol,return,score
PLTR,-0.2652974129350879,0.16276172821818735
UBER,0.20394994973908775,0.28255957522569647
LYFT,-0.6829526193287037,0.0561352482475934
RIVN,-0.7671001856185501,0.03465255473814721
LCID,-0.5806772854439377,0.08224592201152162
DASH,-0.2895323108333344,0.15657461067295214
COIN,-0.47020836232586927,0.11044840156380778
HOOD,-0.6341183261695466,0.06860253873434399
SOFI,-0.18442623239151734,0.183407967461523
NET,0.11623550374054115,0.2601662649634956
OKTA,-0.6388478898927429,0.06739509124205588
ZM,-0.8002388980847037,0.02619231239725917
DOCU,-0.7327008687376431,0.04343462668710164
ROKU,-0.7116703195283609,0.04880368087272281
TWLO,-0.7732448561613193,0.033083833504640045
CRWD,0.27347997570344806,0.3003104419869663
DDOG,0.3304833145574244,0.3148632723492491
MDB,0.16677606755130858,0.2730691626943874
SNOW,-0.28479008415586604,0.15778529099035385
SHOP,-0.28689122071362494,0.15724887532580156
ETSY,-0.5289981276770825,0.09543950034161322
MELI,-0.04174387862042683,0.21983446688888159
W,-0.7390679226462145,0.041809131456439635
BILI,-0.8715431670814087,0.007988485188579074
IQ,-0.7294900295575586,0.04425434705520217
JD,-0.6517502084938084,0.06410115692774451
BABA,-0.6552471365506188,0.06320839868194712
PDD,-0.12273654737095585,0.19915721196642208
NTES,0.006093034463648284,0.23204712837790678
TME,-0.5348477132518759,0.09394611366863792
BIDU,-0.4506919065427336,0.11543091093948717
WB,-0.7135338728699576,0.048327919694578586
YMM,-0.6661904761022794,0.06041458752467195
SE,-0.7934305799024794,0.02793046145221481
GDS,-0.9028340099482882,0.0
BEKE,-0.7151006021123244,0.047927937073451804
ZTO,-0.21719774829191762,0.1750414696176847
KWEB,-0.6153225214379248,0.07340106743952357
FXI,-0.4429931269817894,0.1173963928779055
ARKK,-0.5729994505919698,0.08420605681058203
ARKG,-0.6455132054490998,0.06569345045130805
ARKF,-0.44056794420854273,0.1180155368474719
ARKW,-0.4648669074713092,0.11181206355184205
ICLN,-0.4380543666638619,0.1186572478129276
TAN,-0.4912394922638802,0.10507919911938553
LIT,-0.21428471807406024,0.17578515999535324
BOTZ,-0.13123837503709135,0.19698671356611652
ROBO,-0.05592893328136461,0.21621305280488998
QQQ,0.34942102485274606,0.31969802924101404
SPY,0.3473762360180035,0.3191759990295044
VOO,0.3495918909560405,0.31974165099135177
DIA,0.31842934819186586,0.31178592054429605
IWM,0.07806789969639572,0.25042215736986684
VT,0.19011152123488761,0.27902665405737526
EWZ,0.24598778000110322,0.29329174328639024
RSX,-0.7245806816967445,0.04550769305289682
EFA,0.12349314943419887,0.26201912637008645
EEM,-0.17128376955997382,0.18676321008371402
TLT,-0.3250000193879158,0.14751978061719126
IEF,-0.15010724503078132,0.1921695314559675
HYG,0.03233452867757691,0.23874652566630772
JNK,0.02915373631133189,0.2379344761854486
BND,-0.0978493270664561,0.20551086602531726
AGG,-0.09611002032229254,0.2059549073131553
XLF,0.36885444954242796,0.3246593409563086
XLK,0.5445626396094565,0.369517265679973
XLY,0.1481319960306604,0.26830937115310066
XLC,0.12191871319420677,0.26161717616896707
XLV,0.26514947519907794,0.2981836830442391
XLE,1.4989390581920778,0.6131675219741625
XLI,0.38413256975936827,0.328559812336437
XLB,0.2689815819094372,0.2991620116826524
XLRE,0.25106398220107917,0.294587686839629
XLU,0.13700756921331103,0.26546932880461244
FANG,2.6437672377528467,0.9054397050788666
DVN,2.4203683633750956,0.8484064507589304
OXY,2.4964025624451174,0.8678178189883
MPC,2.9785461592679825,0.990908046962456
PSX,1.161709225778801,0.5270734677858063
EOG,1.8997898513347424,0.7155038712209185
APA,1.5468663621318015,0.6254032600551032
HES,1.8359983270441762,0.6992180316505352
HAL,0.9978447262804562,0.4852392119063643
SLB,1.4954528761666306,0.6122775071671643
VLO,1.6367961214014684,0.6483621350523191
CTRA,0.8623677379254873,0.4506522268426764
AR,3.0141592782930475,1.0
NEM,-0.2636586997962278,0.1631800881739676
GOLD,-0.2054489630178029,0.17804090934340086
WPM,0.13678395783818664,0.26541224129930685
AEM,-0.1986458038008474,0.179777741325569
FNV,-0.1348291560848115,0.19606999485268406
AA,0.49400404468013415,0.3566097646431197
FCX,0.6300852869735172,0.3913510144435454
SCCO,0.4620811632377768,0.34845992135944887
TECK,1.3047981538385116,0.5636037647585528
RIO,0.2737874675991163,0.3003889440095742
